,bc001,bc002,bc003,bc004,bc005,bc006,bc007,bc008,bc009,bc010,bc011,bc012,bc013,bc014,bc015,bc016,bc017,bc018,bc019,bc020,bc021,bc022,bc023,bc024,bc025,bc026,bc027,bc028,bc029,bc030,bc031,bc032,bc033,bc034,bc035,bc036,bc037
Beet.Baren.17,1,3,2,2,2,1,1,1,1,1,2,1,3,3,1,1,3,3,3,3,3,1,2,1,1,1,3,3,2,1,1,2,3,1,3,2,1
Beet.Baren.18,3,1,3,2,3,1,1,3,2,1,3,2,3,2,1,1,1,2,3,2,1,1,1,2,1,2,1,3,2,3,3,3,3,3,1,1,2
Beet.Pires.19,1,3,3,3,2,2,3,1,2,1,3,3,2,2,2,1,3,2,3,3,1,1,1,1,3,2,1,2,2,3,3,3,3,3,1,1,2
Beet.Pires.20,3,3,3,2,1,1,2,1,2,2,2,3,3,2,1,1,1,1,3,2,3,1,3,1,2,2,1,3,1,3,1,3,3,2,1,2,2
Beet.Pires.21,3,3,3,2,1,3,1,3,2,2,2,1,1,3,2,3,3,3,1,2,3,1,1,1,3,2,1,2,1,1,1,3,3,2,3,2,1
Beet.Richt.22,3,2,2,2,2,3,1,3,2,2,2,1,3,3,1,3,3,3,3,3,3,2,2,1,3,2,3,1,2,1,1,2,3,1,3,2,1
Beet.Richt.23,2,1,1,1,1,2,1,2,1,1,1,1,2,3,3,3,2,1,2,1,3,3,2,1,1,3,2,2,1,1,1,1,2,2,3,1,3
Beet.Richt.24,2,2,1,1,3,2,2,1,3,3,1,3,2,2,3,1,2,2,2,1,2,3,1,2,1,3,2,2,3,2,2,1,1,2,2,1,3
Moza.Arrau.25,2,2,2,3,2,3,3,2,3,2,1,1,2,3,2,3,3,3,2,3,1,2,2,3,2,1,3,1,3,1,1,2,3,1,3,3,3
Moza.Arrau.26,3,1,2,1,2,1,3,3,3,1,2,3,2,2,3,3,2,1,2,2,2,2,2,3,2,1,3,1,2,2,3,2,2,1,3,2,1
Moza.Arrau.27,3,2,3,1,3,2,2,2,2,3,1,3,1,1,1,2,2,2,2,1,2,3,3,2,3,3,2,3,1,1,2,3,2,1,2,1,3
Moza.Baren.28,1,2,2,3,3,1,3,3,1,2,3,3,1,3,1,2,1,1,1,2,1,2,3,3,2,1,3,1,2,2,3,3,3,3,1,2,2
Moza.Baren.29,3,2,3,3,1,3,3,1,1,2,3,2,1,2,1,1,3,2,1,2,1,1,3,3,2,3,1,3,3,2,3,3,3,2,1,2,2
Moza.Baren.30,1,2,1,1,2,2,2,1,1,3,2,2,1,1,3,3,2,2,1,1,2,3,1,2,1,1,3,2,3,3,2,3,3,2,1,1,1
Moza.Pires.31,2,1,1,1,3,2,3,2,3,3,1,3,2,1,3,2,2,1,2,1,2,3,3,3,3,3,2,2,3,2,3,1,2,1,2,3,3
Moza.Pires.32,2,1,2,3,1,3,2,2,3,2,1,3,2,3,2,2,3,3,2,3,3,2,2,1,3,2,3,3,1,1,1,1,1,1,3,3,1
Moza.Pires.33,2,1,1,3,1,2,3,2,3,3,1,2,2,1,3,2,2,1,2,2,2,3,3,3,3,3,2,1,3,2,2,1,1,1,3,3,3
Moza.Richt.34,3,1,1,1,2,2,2,2,3,3,2,2,1,2,3,3,2,2,1,1,2,3,1,2,2,1,1,3,3,2,2,3,2,2,1,1,1
Moza.Richt.35,3,1,2,3,1,3,3,3,2,2,3,1,3,3,2,1,3,2,3,2,1,2,3,3,1,2,3,2,2,3,3,3,3,1,1,2,1
Moza.Richt.36,2,3,1,1,1,2,2,1,1,3,1,1,1,3,1,1,2,2,2,1,1,3,2,1,1,3,2,3,3,1,1,1,2,2,2,1,3
Musical Experience,1,0.5,3,4,0,1,1,0.5,1,0,1,0,7,3,8,3,11,0,15,0,3,2,12,2,3,1,0,0,2,1,3,7,11,10,7,9,0
